Fujian,450.5,7,4.6,227.7,8,44.3,14.8,4.1,11.9,5.6,10,6.9,6.4,4.3,4.2,1.3,43.7,13.6,3.4,28.8
Jiangxi,286.8,14.8,8.9,70.3,9.5,25.4,16.3,3.1,8.9,1.9,8.5,2.5,2.2,5.5,4.8,0.6,46.7,14.9,3.7,38.4
Shandong,904.6,5.6,60.4,346.3,19.9,71,30.9,5.4,35.7,11.2,26.4,8.6,10.8,8.8,11.2,3,107.1,37.7,5.8,98.8
,,,,,,,,,,,,,,,,,,,,
Henan,719.2,8.7,50.4,157.1,21.2,77.8,31,4.6,43.1,10,22.3,6.9,10.4,11.6,11.7,1.8,111.6,35.2,7.2,96.6
Hubei,466.5,20.9,9.6,115.4,12.3,58.8,30.7,4.3,18.3,4.6,14.8,3.9,5,9.5,9.1,1.3,64.4,26.1,5,52.5
Hunan,435.4,7.8,11.2,87,10.5,67.1,22.8,4.5,12.7,7.2,15,6.7,5.1,6.4,7.3,1.1,67.6,25.4,4.4,65.4
Guangdong,1001.5,9.9,3.4,423,19.4,60.1,48.8,15.8,40.5,23.9,32.4,23.9,26.4,14.2,12.9,5.1,103.2,41.8,8.8,88.1
Guangxi,288.1,13.2,5.1,57.6,8.2,21.8,18.1,3.4,12.1,4.5,8.5,3.4,6.7,5.6,6.1,0.7,55.2,18.5,3.1,36.3
Hainan,77.2,18,0.9,7.4,2,5.1,4.1,0.8,2.9,3.7,1.9,1.8,2,1.7,2.1,0.1,9.4,3.4,1.2,8.6
,,,,,,,,,,,,,,,,,,,,
Chongqing,229.7,1.8,8.9,55.4,6.1,37.5,12.7,2.5,10.1,3.6,8,4.2,3.6,5.2,3.2,0.6,32.5,9.8,2.3,21.7
Sichuan,539.4,8.4,23.3,120.4,15.3,90.3,24.1,5,18.6,5.1,16.8,5.3,5.9,11.6,8.1,2.1,81.3,27.9,4.3,65.5
Guizhou,216.6,2.7,10.8,42.5,6.6,23.4,8.6,2.1,11.8,2.7,5.3,4.5,3.1,3.9,2.7,0.9,38.8,9.6,2.1,34.5
Yunnan,296.3,16.6,12.9,56.1,7.6,32.6,12.5,3.7,13.9,5.8,7.5,3.1,4.9,5.7,4.5,0.6,49.2,13.7,3.4,42
Tibet,19.7,0.5,0.2,0.8,0.8,0.7,0.8,0.4,0.6,0.4,0.7,,0.2,0.5,0.2,,3.6,1.3,0.6,7.4
,,,,,,,,,,,,,,,,,,,,
Shaanxi,342,6.3,24,85.4,10,20.5,19.8,3.5,18.2,4.8,10.1,2.7,2.9,12.4,5.8,1.8,51.9,15.1,3.8,43.1
Gansu,195,5.9,11.1,39.8,6.8,14.5,9.9,1.7,7.1,2.1,6.3,1.9,2.3,5,3.5,0.4,31.4,8.6,2.2,34.4
Qinghai,45.4,2.2,1.6,7.1,1.9,3.5,3.3,0.9,1.5,0.4,1.5,0.3,0.8,1.7,0.8,0.6,6.4,2.6,0.7,7.6
Ningxia,58.2,3.4,5,11.2,3.6,3.1,2.8,0.5,1.8,0.6,2.6,0.9,0.9,1.2,1.9,,7.6,2.7,0.9,7.5
Xinjiang,247.8,60.2,18.4,25,6,14.3,11,1.8,7,2.7,6,2.6,5.1,4.5,4.5,0.3,33.1,11.6,2.5,31.2
