5-5      Number of Employed Persons at the Year-end by Sector,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(10 000 persons),
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,8,7,6,6,6,9,7,7,8,9,9
,Total,"Farming,",Mining,Manufacturing,Production,Construction,Geological,"Transport,",Wholesale,Finance,Real,Social,Health,"Education,",Scientific,Government,Others
,,"Forestry,",and,,and Supply of,,Prospecting,"Storage,",and Retail,and,Estate,Services,"Care,",Culture and,Research,"Agencies,",
Year,,Animal,Quarrying,,Electricity,,and Water,Post &,Trade,Insurance,Trade,,Sports &,"Arts, Radio,",and,Party,
Region,,Husbandry,,,Gas and,,Conservancy,Telecommu-,& Catering,,,,Social,Film and,Polytechnic,Agencies,
,,and Fishery,,,Water,,,nication,Services,,,,Welfare,Television,Services,and  Social,
,,,,,,,,Services,,,,,,,,Organizations,
,,,,,,,,,,,,,,,,,
Guangxi,2530.4,1574.5,6.3,143.6,8.1,99.2,2.7,58.8,132.3,8.4,1.9,22.4,14.6,59.9,3.5,34.4,359.8
Hainan,333.7,204.4,1.9,16,2.1,12,0.6,11.9,29.9,2.1,0.9,9.9,2.9,9.1,1.3,8.8,19.9
,,,,,,,,,,,,,,,,,
Chongqing,1636.5,925.2,10.4,134.5,5.2,101,1.2,36,88.1,6.2,1.8,15,8.7,32.1,5.5,19.8,246
Sichuan,4435.8,2643.4,25.5,335.5,14.6,266.2,4.8,85.9,220.5,16.6,3.2,32.8,26.3,83.4,9.5,59.9,607.8
Guizhou,2045.9,1377.9,10.1,118.7,5.1,55.5,1.4,30,73,5.2,1.3,10.9,8.8,35.6,1.9,27.4,283
Yunnan,2295.4,1695.9,10.8,118.1,6.8,74.8,2.8,55.8,99.4,7.5,1.4,19.7,12.8,49.7,5.3,36.1,98.8
Tibet,123.4,91,0.4,2.7,0.6,3.5,0.2,3.5,5.9,0.6,0,1.5,1.2,3.2,0.2,5.7,3
,,,,,,,,,,,,,,,,,
Shaanxi,1812.8,1010.2,19.6,172.2,8,99.3,6.5,67.3,152.9,9.2,1.2,27.4,13.4,51,9,38.3,127.5
Gansu,1182.1,706.1,9.5,89.9,7.2,56.6,4.6,32.3,64.8,5.3,0.9,11.2,7.5,30.5,3.2,23.1,129.1
Qinghai,238.6,145.3,1.9,17,1.4,11.5,2,8.5,17.3,1.7,0.2,3.6,2.3,6.6,0.7,6.2,12
Ningxia,274.4,158.6,6,24.9,2,16.9,1.1,11.8,18.7,2.1,0.4,3.3,2.5,8.3,0.7,6.3,11.1
Xinjiang,672.5,387.9,11.3,47.8,5.1,28.5,3.4,25,59.1,5.3,0.9,15.4,9.3,33.5,2.6,25.1,12.2
