5-5 Number of Employed Persons at the Year-end by Sector,,,,,,,,,,,,,,,,,
(10 000 persons),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,8,7,6,6,6,9,7,7,8,9,9
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,"Transport,",,,,,,,,,
Year,,,,,,,,"Storage,",Wholesale,Banking,Real,Social,Health,"Education,",Scientific,Government,Others
Region,,"Farming,",Mining and,Manufac-,Production,Construc-,Geological,Post &,and Retail,and,Estate,Services,"Care,",Culture and,Research,"Agencies,",
,,"Forestry,",Quarrying,turing,and Supply of,tion,Prospecting,Telecommu-,Trade,Insurance,Trade,,Sports &,"Art, Radio,",and,Party,
,Total,Animal,,,Electricity,,and Water,nications,& Catering,,,,Social,Film and,Polytech-,Agencies,
,,Husbandry,,,Gas and,,Conservancy,,Services,,,,Welfare,Television,nical,and  Social,
,,and Fishery,,,Water,,,,,,,,,,Services,Organizations,
,,,,,,,,,,,,,,,,,
Hunan,3496.1,2111.5,18.8,331.8,10.6,148.5,5.1,94.8,241.9,14.8,2.3,42.5,22.5,73.6,5.4,52.6,319.4
Guangdong,3760.5,1550.7,7.5,705.1,19.2,253.7,4.4,129,378.2,28.8,10.7,74.5,32.5,92.9,6.9,68.9,397.6
Guangxi,2481.5,1622.4,7.4,145,7.8,96.2,2.8,57.5,134.6,8.5,1.8,21.7,14.5,60.5,3.6,35.4,261.5
Hainan,326.2,198.8,2.1,15.5,2.2,11.8,0.5,11.8,30.6,2.3,0.9,9.7,3.2,9.2,1.3,8,18.2
,,,,,,,,,,,,,,,,,
Chongqing,1639.4,958.9,11.4,137.8,5.4,94.7,1.3,35.9,95.9,5.9,1.5,14,8.7,32.2,4.9,19.8,211.1
Sichuan,4482.3,2747.1,27.4,342.9,14.4,249.1,5,84.4,229.4,16.3,2.7,32.7,26.2,84.1,9.8,59.9,550.8
Guizhou,1975.9,1432.9,10.7,120.5,5.2,48.8,1.7,32.5,68.4,5.2,1.1,10.8,8.8,35.4,2,26.9,165.2
Yunnan,2273.4,1677.1,11.5,120.9,7.1,72.5,2.8,56.4,101.4,7.6,1.2,20.7,12.6,48.7,5.3,38.5,89.2
Tibet,122.2,92.7,0.4,2.5,0.6,2.6,0.3,3.6,4.7,0.6,,1.4,1.3,3.1,0.2,4.8,3.3
,,,,,,,,,,,,,,,,,
Shaanxi,1780.9,1016.4,20.7,179.5,8,95.8,6.2,64.7,135.7,9.3,1.2,23.9,13.3,50.4,9.2,37.8,108.8
Gansu,1185.6,698.2,10.6,97,7,54.6,4.2,32.6,75.7,5.5,1.3,12.5,7.5,29.3,3.1,22.5,124
Qinghai,241.2,146.9,2.4,18.8,1.4,11.1,2.3,8.9,16.7,1.7,0.2,3.5,2.3,6.6,0.8,6.2,11.3
Ningxia,270.8,158.5,6.4,24,2,14.1,1,11.4,18.6,1.9,0.4,3.5,2.5,8,0.8,6.4,11.3
Xinjiang,669.6,385.2,20,50.5,5,23.4,3.6,24,57,5.4,0.9,14.3,9.3,32.7,2.6,24.7,11.1
