,,,,,,,,,,,,,,,,,
1996,68850,32910,902,9763,273,3408,129,2013,4511,292,84,747,458,1513,183,1093,4563
1997,69600,33095,868,9612,283,3449,129,2062,4795,308,87,810,471,1557,186,1093,4862
1998,69957,33232,721,8319,283,3327,116,2000,4645,314,94,868,478,1573,178,1097,5118
,,,,,,,,,,,,,,,,,
Beijing,624.3,71.2,3.3,146.1,4.2,66.9,1.7,31,75.5,7.3,9.4,56.6,13.8,43.1,30.3,31,32.8
Tianjin,427,80.9,9.1,139.4,3.5,25.2,1.8,25.5,53.8,4.1,2.2,17.2,6.7,21,5.1,11.7,19.7
Hebei,3382.9,1649.7,37.2,598.4,14.1,234.3,8.4,129.1,265.3,16.2,2.3,33,20.3,87,5,63.8,218.4
Shanxi,1429,644.4,60.6,226.7,10.8,75,3.3,79.5,114.6,9.6,1.2,16.9,13,47.4,4,40,81.8
Inner Mongolia,1006.8,542.6,34.9,96.9,8.5,39.4,3.7,38.8,86.8,8,1.6,21,10.4,37.2,3,29.2,44.7
,,,,,,,,,,,,,,,,,
Liaoning,1818.2,668.3,42.3,356.4,19.2,106,7.1,90.7,211.1,16.3,8,53,23.4,60.2,9.2,40.4,106.5
Jilin,1127.4,543.9,39.7,144.9,8.7,42.1,2.8,48.3,122.8,9.7,3.7,29.8,14.6,43.5,5.1,25.8,41.8
Heilongjiang,1723,831.7,95.9,206.1,14.2,70.5,6.8,67.5,191.2,11.8,5.3,46.3,18.7,53.9,5.3,39.3,58.3
,,,,,,,,,,,,,,,,,
Shanghai,670,80,0.1,258.4,6.5,28,1,30.3,91.7,6.6,7.4,38.1,15.7,32.8,8.6,14.5,50.6
Jiangsu,3635,1555.7,22.2,787.3,13,282.1,6,144.4,272.8,16.4,5.9,41.9,29.4,86.4,8.3,44.5,318.5
Zhejiang,2651.1,1109.1,3.5,625.1,9.2,147.3,2,92.5,223.2,14.5,3.7,32.4,20.7,49.7,4.6,34.5,279.2
Anhui,3311,2007.3,32.3,297.2,8.2,172.7,5.2,88.9,222.2,9.6,2.1,36.7,16.1,63.5,3.9,40.2,304.8
Fujian,1621.9,787.5,6.9,274.1,7.4,42.2,1.8,57,122.7,8.4,3.1,22.1,11.3,46.3,3,29.6,198.7
Jiangxi,1971.3,1098.6,18.1,203.1,9.1,73.5,3.2,46.4,118.6,8.3,1.5,18.6,12.9,47.7,3.5,35,273.3
Shandong,4657.2,2498.9,69.4,690,19.4,318.6,5.1,149.5,343.1,20.9,4.3,46.2,33,113.9,6.4,77,261.3
,,,,,,,,,,,,,,,,,
Henan,4999.6,2952,55.7,562.6,20.8,318.7,5.3,148.9,306.4,20.3,3.5,41.3,29.1,102.5,7.4,78.6,346.5
Hubei,2616.3,1284.7,15.4,350.2,12.2,133.5,8.1,99,268.8,14.9,3.5,48.5,26.5,73.7,7.3,53.7,216.3
Hunan,3498.5,2100.9,19.8,337.8,10.3,140.9,5.2,92.3,245.9,14.5,2.2,40.6,22.2,73.6,5.5,52.6,334.3
Guangdong,3737.4,1530.5,9.4,716.7,18.3,260,4.6,129.3,364.6,28.6,10.3,69.5,31.6,91.5,7,68,397.4
Guangxi,2470.9,1623,8.1,152.1,7.7,97.6,3,54.9,128.1,8.7,1.7,20.4,13.8,61.3,3.6,35,252
Hainan,320.8,197.7,2.3,15.9,2.2,12.3,0.5,11.2,28.9,2.3,1,8.8,3,9.4,1.3,7.9,16.1
,,,,,,,,,,,,,,,,,
Chongqing,1645.1,948,13.4,144.8,5.4,90.3,1.1,35.7,107.2,5.2,1.4,15.6,8.8,32.2,4.8,20.1,211.1
Sichuan,4534.7,2824.4,31.4,361.1,14.4,236.7,6.5,82.9,225.1,15.4,2.8,31.8,25.7,83.7,10.5,59.1,523.1
Guizhou,1946.3,1394.2,11.6,117.2,4.9,46.3,1.7,29.5,72.7,5,1,12.1,8.8,35.3,2,26.8,177.2
Yunnan,2270.3,1684.4,12.2,124.3,7.1,71.6,2.9,55.4,94.3,7.5,1.1,16.4,12.5,48.2,6.1,38.4,88.2
Tibet,118.4,90.3,0.4,3,0.6,2.7,0.3,3.4,4.1,0.6,0,1.1,1.4,3,0.3,5.1,2.2
,,,,,,,,,,,,,,,,,
Shaanxi,1802,1055.2,18.3,180.9,7.8,93.1,4.8,64.2,127.4,9,1.2,21.6,13.1,49.3,9.2,35.6,111.3
Gansu,1175.6,692.5,17,101.9,6.7,52.3,4.5,32.8,67,5.4,0.8,11,7.5,29.2,3.1,22.3,121.4
Qinghai,230.4,141.1,2.9,20.9,1.3,9.8,2.6,8.4,13.9,1.7,0.2,3,2.3,6.4,0.8,6.1,8.7
Ningxia,259.5,152.3,7.2,23.5,1.9,13.3,1.7,9.7,16.7,1.8,0.3,2.9,2.4,8,0.8,6.2,10.7
Xinjiang,678.3,391.3,20.4,55.5,5.2,23.9,3.6,22.8,58.1,4.9,0.9,13,9,32.4,2.7,24.5,10.3
