,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,7,7,6,6,6,6,6,8,8,9,7,7,7,9
Year,Total,"Agriculture,",Mining,Manufacturing,Production,Construction,"Transport,",Information,Wholesale,Hotels,Financial,Real Estate,Leasing,Scientific,Management,Services to,Education,"Health,","Culture,",Public
,,,,,,,,,,,,,,"Research,",of Water,Households,,Social,Sports,Management
Region,,"Forestry,",,,and,,Storage,"Transmission,",and,and,Intermediation,,and,Technical,"Conservancy,",and,,Securities,and,and Social
,,Animal,,,Distribution,,and Post,Computer,Retail,Catering,,,Business,"Services, and",Environment,Other,,and Social,Entertainment,Organization
,,Husbandry,,,"of Electricity,",,,Service and,Trades,Services,,,Services,Geological,and Public,Services,,Welfare,,
,,and Fishery,,,Gas and Water,,,Software,,,,,,Prospecting,Facilities,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,10969.7,484.5,488.3,2980.5,297.6,833.7,636.5,116.8,628.1,172.1,353.3,120.2,183.5,221.9,172.5,52.8,1442.8,485.8,127.8,1171
2004,11098.9,466.1,500.7,3050.8,300.6,841,631.8,123.7,586.7,177.1,356,133.4,194.4,222.1,176.1,54.2,1466.8,494.7,123.4,1199
2005,11404,446.3,509.2,3210.9,299.9,926.6,613.9,130.1,544,181.2,359.3,146.5,218.5,227.7,180.4,53.9,1483.2,508.9,122.5,1240.8
2006,11713.2,435.2,529.7,3351.6,302.5,988.7,612.7,138.2,515.7,183.9,367.4,153.9,236.7,235.5,187,56.6,1504.4,525.4,122.4,1265.6
2007,12024.4,426.3,535,3465.4,303.4,1050.8,623.1,150.2,506.9,185.8,389.7,166.5,247.2,243.4,193.5,57.4,1520.9,542.8,125,1291.2
2008,12192.5,410.1,540.4,3434.3,306.5,1072.6,627.3,159.5,514.4,193.2,417.6,172.7,274.7,257,197.3,56.5,1534,563.6,126,1335
,,,,,,,,,,,,,,,,,,,,
Beijing,570.3,2.6,4.5,96.3,6.6,32.8,47.7,33.4,43.6,26,22.7,28.8,62.8,40.1,8.1,6.6,39.9,18.7,14.9,34
Tianjin,200.6,0.7,7,72.7,3.6,10.8,12.5,2.5,13.5,3.7,6.2,3.1,7.3,6.4,3.6,6.3,16.8,8.3,1.8,13.8
Hebei,501,7.5,28.1,116.4,19.5,34.6,25.7,5.6,23.2,4.8,22.2,3.2,4.8,8.2,8.9,2.2,82.7,24.6,4.7,74.5
Shanxi,375.2,3.5,71.7,70.3,10.6,19.8,22.1,4.6,17.9,4.1,13.9,1.5,6.3,5.9,5.6,0.8,49.1,15,4.8,47.9
Inner Mongolia,244.8,27.7,17.3,39.3,9.7,13.4,15.9,3.7,6.8,2.5,9,1.5,3,4.2,6.5,2.4,34.4,11.3,3.3,32.9
,,,,,,,,,,,,,,,,,,,,
Liaoning,510.8,31.3,33.6,147,17,28.4,33.8,6.1,15.5,6.5,20.6,6.5,12,10.2,11.4,2,50.3,24.3,5,49.3
Jilin,262,16.6,17.6,57,8.1,13.7,15.7,3.6,8.4,2.9,9.3,3.4,3.6,6.3,7.5,1.3,37.7,14.6,3.7,31
Heilongjiang,475.1,94.4,44,84.4,14.6,30.1,26,5.5,19.3,3.2,12.2,4.4,4.2,11.2,8.5,5.8,44.3,18.3,3.8,40.8
,,,,,,,,,,,,,,,,,,,,
Shanghai,377.2,1.2,0.1,143,5.5,11.1,34,5.6,24.1,9.8,20.7,10.7,18.3,18.1,5.7,4,27.1,16,4.4,17.7
Jiangsu,707.6,12.2,13.6,307.4,12.7,38.4,32,7.3,27.3,9.9,25,6,11,9.4,11.2,1.1,84.3,33,5.4,60.8
Zhejiang,741.2,1.6,1.6,319.2,12.2,121.7,22.1,8.9,24.7,14.3,25.5,9.3,20.4,9.6,7.4,1.3,55.9,28.1,5.2,52.4
