Anhui,343.7,7.5,29.3,67.3,9.8,34.2,14.8,3.5,13.8,3.1,13.1,3.3,5.2,5.6,6.3,0.5,58.7,19.6,3.5,44.7
Fujian,458.7,6.7,4.8,223.8,9.5,45,15.9,3.9,12.3,5.6,11,7.2,11,4.5,4.2,1.5,44.3,14.2,3.8,29.5
Jiangxi,289.2,13.7,10.1,70.2,8.7,25.2,16.3,2.9,8.9,1.9,8.9,2.1,4.5,4.9,5.1,0.5,45.1,15.2,3.3,41.7
Shandong,901.4,5.2,62.1,340.1,19.9,65.7,30.7,5.8,36.6,11.5,29.3,8.4,11.3,8.9,11.3,3.5,105.8,38.8,6,100.5
,,,,,,,,,,,,,,,,,,,,
Henan,714.4,7.9,50.3,153.6,20.4,80.6,29.4,4,41,9.1,21.5,6.9,12.4,11.9,11.6,1.7,109.8,36.2,7.2,98.8
Hubei,470.3,17.7,10.1,112.5,12.4,61.7,32.2,4.1,19.2,6.3,14.1,4.7,4.8,10.1,8.4,1.5,64.5,26.7,4.9,54.4
Hunan,454.7,9.1,13.2,91.1,11.5,66.9,22.4,5.2,15,7.9,16.4,7.7,5.7,6.8,8,1.1,68.3,26.5,4.4,67.4
Guangdong,1007.9,9.9,3.4,416.5,18.5,59.6,49.3,16.2,40.8,24.1,35.5,24.1,26.9,15.1,13.3,5.4,105.7,44,8.9,90.6
Guangxi,292.8,12.1,5.4,58.4,8.5,23.6,17.5,3.3,11.8,4.5,8.8,3.6,7,6,6.4,0.7,55.8,19.3,3.1,37
Hainan,76.8,16.7,0.9,7.3,1.8,4.9,4.2,0.6,2.8,3.8,1.9,2.2,2,1.5,2,0.1,10.2,3.5,1.2,9
,,,,,,,,,,,,,,,,,,,,
Chongqing,241.7,1.8,9.2,56,6.5,41.1,13.8,2.7,11.1,3.7,9.1,4.6,4.2,5.3,3.1,0.7,33.4,10.3,2.4,22.7
Sichuan,550.9,7.1,23.2,123.9,15.4,93.8,23.2,5.2,18.2,5,17.9,5.1,6.3,12.5,8.3,1.2,81.6,29.2,4.3,69.6
Guizhou,211,2.7,10.8,37.6,7,21.7,9,2.5,9.8,2.3,5.7,3.2,3.2,3.8,2.9,0.7,40.6,10.3,1.9,35.2
Yunnan,303.5,14.3,11.5,56.6,8,36,13.7,3.8,13.9,5.8,8.4,3.3,5,6.1,4.7,0.6,50.6,14.2,3.2,43.9
Tibet,20.3,0.5,0.1,0.8,0.8,0.8,0.8,0.4,0.6,0.4,0.8,,0.1,0.6,0.2,,3.7,1.4,0.6,7.8
,,,,,,,,,,,,,,,,,,,,
Shaanxi,344.4,6.4,23.7,85.1,10.1,20.6,19.6,3.7,18.2,4.8,10.6,3,3,11.5,6,1.8,51.8,15.7,4.2,44.7
Gansu,192.5,5.9,8.6,36.9,6.5,16.3,10.2,1.5,6,2,6.7,1.4,1.9,4.9,3.6,0.4,33.7,8.9,2.4,34.6
Qinghai,47,2.3,1.8,8,1.4,3.5,3.2,0.8,1.6,0.4,1.6,0.6,0.5,1.7,0.9,0.6,6.8,2.7,0.7,7.9
Ningxia,57.1,3.1,5,10.7,3.9,2.4,2.8,0.6,1.7,0.6,2.6,0.7,0.8,1.2,1.9,,7.7,2.8,0.8,7.6
Xinjiang,248.2,60,17.7,25,6,13.8,10.8,1.9,6.6,2.8,6.4,2,5.2,4.6,4.6,0.4,33.3,12.2,2.4,32.4
