,,,,,,,,,,,,,,,,,,,,
5-5  Number of Employed Persons in Urban Units at the Year-end  by Sector and Region (2003),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,(10 000 persons),
,,,,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,7,7,6,6,6,6,6,8,8,9,7,7,7,9
Region,Total,,Mining,Manufacturing,,Construction,,,,,,Real Estate,,Scientific,Water,Services to ,Education," Health,","Culture,", Public
,,"Agriculture,",,,Production,,"Transport,",Information , Wholesale,Hotel,Financial ,,Leasing,"Research,",Management of ,Households ,,Social , Sports,Management
,,"Forestry,",,,and ,,Storage," Transmission,",and ,and ,Intermediation,,and,Technical," Conservancy,",and,,Securities, and , and Social
,,Animal,,, Distribution,,and Post,Computer,Retail Trade,Restaurants,,,Business,"Services, and",Environment,Other ,, and Social,Entertainment,Organization
,,Husbandry,,,"of Electricity,",,,Service and,,,,,Services,Geological ,and Public ,Services,,Welfare,,
,,and Fishing,,,Gas and Water,,,Software,,,,,,Prospecting,Facilities ,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,10969.7,484.5,488.3,2980.5,297.6,833.7,636.5,116.8,628.1,172.1,353.3,120.2,183.5,221.9,172.5,52.8,1442.8,485.8,127.8,1171
,,,,,,,,,,,,,,,,,,,,
Beijing,491.2,2.9,2.5,102.2,3.8,65.1,30.7,17.8,37.6,21.2,14,18.9,37.6,36.3,6.1,9.2,32.9,13.6,11.9,27
Tianjin,191,1,7,77.1,3.5,9.9,13.5,1.5,11.9,3.5,5.2,1.9,4,5.3,3.3,3.2,16.9,6.8,2.1,13.2
Hebei,499.2,9.1,28.1,126.7,16.8,33.1,27.1,3.8,33.2,4.8,17.8,2.4,3.4,7.3,8,2.7,81.6,21.9,5.1,66.4
Shanxi,356.9,4.1,56.9,76.1,11.5,20.9,21.8,2.7,25.3,3.7,11.7,1.4,3.9,5.5,4.9,3.1,45,13.6,4.1,40.8
Inner Mongolia,244.4,32.3,16.9,45,8.9,13,16.5,2.5,8.4,2.6,7.6,1.5,3.7,3.9,5.4,0.9,32.2,10.3,3.1,29.6
,,,,,,,,,,,,,,,,,,,,
Liaoning,500.2,26.8,30.7,151.1,17,30.9,33.7,4.8,19.7,6.1,18.8,6.2,8.2,9.1,10.5,1.9,52.3,22,5.5,44.9
Jilin,291.9,20.9,15,73.9,8.1,16.5,25.6,2.6,14.7,2.8,9.6,2.8,3.4,6,6.5,1.2,35.9,13.9,4.5,27.9
Heilongjiang,515.3,89.7,38.7,113.7,15.6,40.6,32.6,4,31.4,4.8,11.7,4.4,4.9,8.8,7.6,3.7,44.4,17,3.7,38.1
,,,,,,,,,,,,,,,,,,,,
Shanghai,342.1,1.7,0,127,5.6,14.1,34.8,4.2,26.7,8.5,14.8,8.3,15,10.3,5.5,4.1,25,14.3,4.8,17.1
Jiangsu,608.5,18.1,16.6,225.5,12.7,26.4,34.5,5.7,37.9,7.9,21.5,6.7,8.1,8.4,10.7,2,80,28.7,5.4,51.7
Zhejiang,392.8,2.7,1.7,111.5,9,51.9,19.7,4.8,20.7,8.8,18.3,5,10.3,7.1,5.3,0.9,49.7,22.4,4.5,38.4
Anhui,354.6,12.2,29.6,79.5,8.7,29.2,17.1,2.7,22.7,3.6,11.9,2.5,3.5,5.1,6.2,1.2,55.9,16.8,4.3,42.1
Fujian,344.6,7.8,3.6,153.9,8.1,26.4,14.2,3.7,12.4,4.2,9.5,3.5,3.6,3.7,3.2,1.3,42.5,11.3,3.1,28.7
Jiangxi,267.7,16.6,9.8,60.7,9.3,18.1,16.3,2.5,13.7,2.2,8.6,2,1.7,4.9,4.2,1,43.1,13,3.3,36.7
Shandong,778.5,9.4,60.8,272,20.5,38.7,30.8,5.8,43.1,9.2,25.4,5.2,7.9,7.5,10.5,1.2,104.6,34.9,5.5,85.4
,,,,,,,,,,,,,,,,,,,,
Henan,701.7,9.6,48.7,159.9,23.1,61.7,32.9,5.3,58.9,9.8,21.1,4.6,8.3,10.7,10.4,1.6,103.8,31.8,7,92.3
Hubei,502.4,30.5,11.2,149.1,12.7,30.1,31.8,3.7,29.5,10.1,13.3,4.4,8.5,9.8,8.7,1.3,63.7,24.7,5.9,53.3
Hunan,401.6,18.1,12.2,80,11.4,31.2,25.5,4.8,19.5,5.5,14.1,3.2,5.7,6.8,6.9,0.7,65.7,23,6.5,60.9
Guangdong,781.1,13.2,4,283.8,19.6,54.6,43.7,11.7,40.9,19.9,28.2,14.5,15.6,9.3,11.2,3,92.4,34.6,7,73.9
Guangxi,271.7,14.1,4.8,57.6,8.3,16.8,17.5,2.7,14.9,5.1,8,2.3,5,4.5,4.6,0.7,54.3,15.5,3,32.2
Hainan,73.5,20.5,1.2,7,2,4.5,3.6,0.6,3.4,3.1,1.9,1.1,1,1.4,1.6,0,8.4,2.9,1.2,8.2
,,,,,,,,,,,,,,,,,,,,
Chongqing,210.2,2.5,7.1,54.9,5.8,31,14.6,1.9,10.3,2.5,6.6,3.1,1.8,5.9,2.3,0.4,29.9,8.5,1.7,19.5
Sichuan,505.7,11.3,19.2,119.4,15.6,72.4,22.5,4.7,20.7,4.6,16.1,4.2,3.4,11,7.1,2.4,77.8,26.1,5.1,62
Guizhou,197.5,4.4,9,42.4,6,18.6,10,1.1,11.7,2.4,4.9,2.5,3.3,2.8,2.3,0.5,35.9,8.8,2,29
Yunnan,253.3,17.6,5.9,46.9,7.1,17.3,14.6,3.1,15.5,4.2,7.1,1.7,2.2,6.2,3.8,0.7,46.2,12.3,4,37
Tibet,17.4,0.5,0.2,1,0.7,0.8,0.8,0.2,0.7,0.5,0.6,0,0.1,0.5,0.1,0,2.9,1.1,0.5,6.2
,,,,,,,,,,,,,,,,,,,,
Shaanxi,330.3,6.6,17.3,88.6,8.5,20.4,20.4,2.9,21.2,4.7,9.8,1.5,2.9,11.8,4.9,1.8,47.9,13.2,5,40.9
Gansu,195.4,8.7,7.8,48.1,7.1,15.6,12.5,2,9.5,1.9,5.3,1.3,1.7,4.8,3.5,0.3,27.7,7.5,3.8,26.3
Qinghai,42.7,2.3,1.9,6.8,1.7,2.9,2.9,0.7,1.8,0.5,1.5,0.2,0.5,1.9,1.2,0.2,6.1,2.2,0.6,6.7
Ningxia,61.6,4.4,6.2,12,3.1,4.4,3.2,0.6,2.5,0.8,2.3,0.6,0.6,1.2,1.7,0,7.5,2.6,0.8,7
Xinjiang,244.7,65.2,13.9,26.9,5.6,16.5,11.1,1.5,8.1,2.8,6.1,2.2,3.7,4.1,4.1,1.7,30.7,10.5,2.6,27.5
